8230,Veridian,Υ,35,70,44,135.43,0.33,0.21,26.50,-19.47,11.84,LThanda
8231,Pastel Green,Φ,142,172,116,92.14,0.25,0.56,66.91,-20.54,25.52,LThanda
8232,Pale Fern,Χ,129,157,81,82.11,0.32,0.47,61.11,-22.64,36.36,LThanda
8233,Fern,Ψ,88,125,67,98.28,0.30,0.38,48.44,-24.39,27.46,LThanda
8234,Medium Fern,Ω,76,115,66,107.76,0.27,0.35,44.51,-24.02,22.84,LThanda
8235,Dark Fern,α,48,84,43,112.68,0.32,0.25,32.13,-22.32,19.94,LThanda
8236,Pale Chartreuse,β,174,178,119,64.07,0.28,0.58,70.99,-10.84,29.74,LThanda
8238,Palm Green,γ,109,119,75,73.64,0.23,0.38,48.20,-11.58,22.99,LThanda
8241,Cedar Green,δ,50,93,58,131.16,0.30,0.28,35.62,-23.49,15.57,LThanda
8242,Parrot,ε,157,170,43,66.14,0.60,0.42,66.59,-20.49,59.55,LThanda
8243,Dark Parrot,ζ,125,160,52,79.44,0.51,0.42,61.44,-28.43,50.27,LThanda
8244,Lorikeet,η,82,140,51,99.10,0.47,0.37,52.72,-35.61,40.57,LThanda
8245,Kelly Green,θ,14,94,35,135.75,0.74,0.21,34.44,-36.69,26.96,LThanda
8246,Mid Kelly Green,ι,13,90,39,140.26,0.75,0.20,33.02,-34.67,23.08,LThanda
8247,Dark Kelly Green,κ,15,83,44,145.59,0.69,0.19,30.57,-30.59,17.10,LThanda
8248,Light Frog Green,λ,151,160,30,64.15,0.68,0.37,63.19,-18.57,60.33,LThanda
8249,Frog Green,μ,70,123,17,90.00,0.76,0.27,46.32,-34.90,46.97,LThanda
8250,Leprachaun,ν,61,99,31,93.53,0.52,0.25,37.87,-26.33,33.29,LThanda
8251,Loden Green,ξ,57,88,33,93.82,0.45,0.24,33.90,-22.25,27.80,LThanda
8253,Lichen,ο,146,143,79,57.31,0.30,0.44,58.34,-8.46,34.29,LThanda
8254,Pickle Green,π,106,127,48,75.95,0.45,0.34,50.04,-20.20,39.42,LThanda
8256,Mineral Green,ρ,99,99,37,60.00,0.46,0.27,40.75,-9.04,34.34,LThanda
8257,Medium Forest,ς,79,84,56,70.71,0.20,0.27,34.58,-7.34,15.74,LThanda
8258,Forest,σ,68,69,50,63.16,0.16,0.23,28.68,-4.16,11.38,LThanda
8259,Dark Forest,τ,57,53,40,45.88,0.18,0.19,22.19,-0.80,8.85,LThanda
8271,Bright Lime,υ,192,179,41,54.83,0.65,0.46,71.96,-9.98,66.19,LThanda
8421,Greenstone,φ,112,127,101,94.62,0.11,0.45,51.34,-10.66,12.32,LThanda
8207,Turquoise Breath,χ,98,123,117,165.60,0.11,0.43,49.55,-10.38,0.28,LThanda
8208,Beryl,ψ,65,122,112,169.47,0.30,0.37,47.25,-21.36,-0.35,LThanda
8237,Deep Chartreuse,ω,165,151,85,49.50,0.32,0.49,62.33,-4.05,36.44,LThanda
