8237,Deep Chartreuse,165,151,85,#A59755,LThanda
8252,Celery Green,183,160,95,#B7A05F,LThanda
8260,Grey Green,143,144,125,#8F907D,LThanda
8261,Pale Olive,145,146,102,#919266,LThanda
8262,Grass Green,109,115,78,#6D734E,LThanda
8263,Olive,78,82,47,#4E522F,LThanda
8264,Sage,92,95,71,#5C5F47,LThanda
8265,Green Haze,119,131,118,#778376,LThanda
8266,Hunter Green,49,71,55,#314737,LThanda
8267,Dark Pickle,130,127,85,#827F55,LThanda
8268,Sap Green,83,95,63,#535F3F,LThanda
8269,Dark Olive,68,79,51,#444F33,LThanda
8270,Pale Yellow,208,172,87,#D0AC57,LThanda
8272,Bright Khaki,158,133,29,#9E851D,LThanda
8273,May Green,103,115,35,#677323,LThanda
8274,Mid May Green,97,100,41,#616429,LThanda
8275,Light Khaki,153,133,66,#998542,LThanda
8276,Khaki,139,119,43,#8B772B,LThanda
8277,Dark May Green,85,85,38,#555526,LThanda
8278,Army Green,75,80,36,#4B5024,LThanda
8279,Winter Green,139,140,108,#8B8C6C,LThanda
8280,Eucalypt,114,118,85,#727655,LThanda
8281,Dark Eucalypt,95,99,62,#5F633E,LThanda
8089,Purple Smoke,158,137,139,#9E898B,LThanda
8090,Pale Mushroom,141,119,127,#8D777F,LThanda
8091,Mushroom,111,81,95,#6F515F,LThanda
8092,Dark Mushroom,97,61,75,#613D4B,LThanda
8093,Light Mauve,152,97,116,#986174,LThanda
8094,Mauve,111,62,88,#6F3E58,LThanda
8095,Dark Mauve,98,50,73,#623249,LThanda
8096,Maroon,65,27,46,#411B2E,LThanda
8097,Pale Lilac,193,150,179,#C196B3,LThanda
8098,Lilac,181,129,187,#B581BB,LThanda
8099,Mid Lilac,157,96,149,#9D6095,LThanda
8100,Light Purple,116,56,118,#743876,LThanda
8101,Purple,97,41,105,#612969,LThanda
8102,Dark Purple,84,38,99,#542663,LThanda
8103,Purple Ice,179,154,182,#B39AB6,LThanda
8104,Lavenda,151,122,173,#977AAD,LThanda
8105,Jacaranda,78,62,145,#4E3E91,LThanda
8106,Imperial Purple,64,49,132,#403184,LThanda
8107,Royal Purple,60,25,72,#3C1948,LThanda
8111,Dark Lavenda,87,98,153,#576299,LThanda
8112,Soft Violet,117,87,163,#7557A3,LThanda
8113,Gentian,72,57,137,#483989,LThanda
8114,Gentian Violet,88,62,141,#583E8D,LThanda
8388,Light Oyster,154,140,143,#9A8C8F,LThanda
8389,Mid Oyster,148,128,135,#948087,LThanda
8390,Oyster,125,107,115,#7D6B73,LThanda
8391,Light Java,148,117,122,#94757A,LThanda
8392,Java,105,73,79,#69494F,LThanda
