D14,D14,139,39,155,291.72,0.60,0.38,36.57,56.72,-42.19,Asher
D15,D15,47,31,144,248.50,0.65,0.34,22.30,41.44,-59.20,Asher
D16,D16,227,225,238,249.23,0.28,0.91,90.02,3.05,-6.09,Asher
D17,D17,196,212,246,220.80,0.74,0.87,84.73,1.64,-18.45,Asher
D18,D18,164,94,199,280.00,0.48,0.57,51.86,46.49,-43.56,Asher
D19,D19,216,195,215,302.86,0.21,0.81,81.04,10.90,-7.28,Asher
D2,D2,133,142,221,233.86,0.56,0.69,61.27,16.22,-41.35,Asher
D20,D20,156,50,178,289.69,0.56,0.45,42.10,60.64,-46.95,Asher
D21,D21,154,0,155,299.61,1.00,0.30,36.44,67.58,-42.26,Asher
D22,D22,51,58,149,235.71,0.49,0.39,29.16,27.21,-51.02,Asher
D23,D23,235,218,252,270.00,0.85,0.92,89.31,11.97,-14.43,Asher
D24,D24,119,134,229,231.82,0.68,0.68,58.63,19.79,-50.03,Asher
D25,D25,73,79,199,237.14,0.53,0.53,39.80,34.70,-63.40,Asher
D26,D26,223,194,248,272.22,0.79,0.87,82.41,20.09,-22.83,Asher
D3,D3,47,84,175,222.66,0.58,0.44,37.91,19.00,-52.47,Asher
D4,D4,24,42,132,230.00,0.69,0.31,22.00,28.05,-52.24,Asher
D5,D5,184,67,197,294.00,0.53,0.52,49.78,63.76,-45.54,Asher
D6,D6,172,123,222,269.70,0.60,0.68,60.08,38.08,-43.55,Asher
D7,D7,136,84,179,272.84,0.38,0.52,45.40,39.81,-42.43,Asher
D8,D8,226,211,255,260.45,1.00,0.91,86.99,13.38,-19.58,Asher
D9,D9,213,185,248,266.67,0.82,0.85,79.40,21.81,-27.49,Asher
E1,E1,253,211,204,8.57,0.92,0.90,87.89,13.63,8.96,Asher
E10,E10,211,55,147,324.62,0.64,0.52,50.32,67.31,-14.99,Asher
E11,E11,252,221,210,15.71,0.88,0.91,90.35,8.98,9.32,Asher
E12,E12,247,143,195,330.00,0.87,0.76,71.80,45.73,-9.76,Asher
E13,E13,181,0,109,323.87,1.00,0.35,39.46,67.09,-8.65,Asher
E14,E14,255,209,186,20.00,1.00,0.86,87.20,12.88,17.49,Asher
E15,E15,248,199,201,357.55,0.78,0.88,84.49,17.67,5.61,Asher
E16,E16,255,243,235,24.00,1.00,0.96,96.56,2.69,5.28,Asher
E17,E17,255,226,234,343.45,1.00,0.94,92.40,11.25,-0.25,Asher
E18,E18,255,199,219,338.57,1.00,0.89,85.62,22.91,-2.27,Asher
E19,E19,254,186,213,336.18,0.97,0.86,82.37,28.45,-3.83,Asher
E2,E2,254,192,223,330.00,0.97,0.87,84.02,26.88,-6.77,Asher
E20,E20,216,199,209,324.71,0.18,0.81,81.86,7.68,-2.84,Asher
E21,E21,189,157,161,352.50,0.20,0.68,67.65,12.47,2.35,Asher
E22,E22,183,133,161,326.40,0.26,0.62,61.15,23.62,-7.29,Asher
E23,E23,147,122,141,314.40,0.10,0.53,54.07,13.10,-6.67,Asher
E24,E24,225,188,232,290.45,0.49,0.82,80.63,20.83,-16.94,Asher
E3,E3,255,183,231,320.00,1.00,0.86,82.32,33.24,-13.56,Asher
E4,E4,232,100,158,333.64,0.74,0.65,60.55,56.85,-5.77,Asher
E5,E5,245,81,162,330.37,0.89,0.64,59.80,68.98,-8.98,Asher
E6,E6,241,61,116,341.67,0.87,0.59,55.38,70.42,11.59,Asher
E7,E7,198,52,120,332.05,0.58,0.49,46.73,61.92,-4.28,Asher
E8,E8,255,219,233,336.67,1.00,0.93,90.69,14.71,-2.22,Asher
E9,E9,233,112,204,314.38,0.73,0.68,64.38,57.96,-26.20,Asher
F1,F1,253,149,123,12.00,0.97,0.74,72.10,36.49,30.57,Asher
F10,F10,138,69,38,18.60,0.57,0.35,37.48,26.83,31.52,Asher
F11,F11,90,33,33,0.00,0.46,0.24,21.47,26.26,13.43,Asher
F12,F12,253,78,106,350.40,0.98,0.65,59.32,67.45,23.22,Asher
F13,F13,243,87,68,6.51,0.88,0.61,58.31,58.76,43.11,Asher
F14,F14,255,169,173,357.21,1.00,0.83,77.67,32.13,11.02,Asher
F15,F15,211,0,34,350.33,1.00,0.41,44.18,69.90,44.89,Asher
F16,F16,254,194,166,19.09,0.98,0.82,83.13,17.81,22.39,Asher
F17,F17,230,156,121,19.27,0.69,0.69,70.86,23.71,29.51,Asher
F18,F18,211,124,70,22.98,0.62,0.55,60.52,29.15,43.29,Asher
F19,F19,193,68,74,357.12,0.50,0.51,46.93,50.37,23.95,Asher
F2,F2,252,61,70,357.17,0.97,0.61,56.56,70.84,40.45,Asher
F20,F20,205,147,145,2.00,0.38,0.69,66.44,21.60,9.76,Asher
F21,F21,247,180,198,343.88,0.81,0.84,79.89,26.89,0.54,Asher
F22,F22,253,192,208,344.26,0.94,0.87,83.51,24.19,0.51,Asher
F23,F23,246,126,102,10.00,0.89,0.68,66.12,43.85,34.11,Asher
F24,F24,230,152,170,346.15,0.61,0.75,71.00,31.63,2.72,Asher
F25,F25,229,75,79,358.44,0.75,0.60,54.30,59.57,31.62,Asher
F3,F3,247,73,65,2.64,0.92,0.61,57.00,65.26,43.46,Asher
F4,F4,252,40,60,354.34,0.97,0.57,54.59,75.70,43.84,Asher
F5,F5,231,0,47,347.79,1.00,0.45,48.50,75.04,43.40,Asher
F6,F6,148,54,48,3.60,0.51,0.38,36.27,39.18,24.64,Asher
