8395,Pampas,211,179,159,LThanda
8126,Delphinium Blue,52,125,181,LThanda
8287,Deep Gold,154,112,48,LThanda
8149,Mid Sea Quest,141,183,186,LThanda
8336,Feather Pink,235,149,127,LThanda
8122,Azure,104,147,168,LThanda
8012,Pale Scarlet,228,69,66,LThanda
8426,Medium Clay,122,92,78,LThanda
8415,Stone,146,128,114,LThanda
8444,Mist,149,151,151,LThanda
8186,Slate,58,73,80,LThanda
8349,Brick Red,174,68,44,LThanda
8188,Light Jade,78,141,138,LThanda
8209,Dark Beryl,52,84,74,LThanda
8137,Dark Denim,21,65,108,LThanda
8143,Dark Aqua,8,126,164,LThanda
8445,Pebble,123,132,135,LThanda
8185,Mid Slate,89,106,108,LThanda
8312,Golden Ginger,161,111,62,LThanda
8162,Teal,71,106,120,LThanda
8303,Mocha,111,78,55,LThanda
8447,Blue Gum,56,74,82,LThanda
8140,Deep Aegean Blue,9,102,164,LThanda
8178,Mid Turquoise,113,158,156,LThanda
8433,Dark Sepia,64,43,41,LThanda
8001,Black,31,31,36,LThanda
8096,Maroon,64,28,46,LThanda
8357,Dark Ochre,165,72,43,LThanda
8153,Oriental Blue,48,97,137,LThanda
8098,Lilac,180,128,187,LThanda
8362,Skin Tone,220,137,87,LThanda
8334,Flame,214,57,41,LThanda
8363,Dark Skin Tone,211,105,63,LThanda
8333,Dark Orange,240,80,40,LThanda
8006,Rose,208,82,87,LThanda
8354,Mid Nacre,225,175,152,LThanda
8332,Bright Orange,239,90,39,LThanda
8175,Aqua Marine,49,139,158,LThanda
8050,Light Fuschia,198,91,103,LThanda
8044,Frilly Pink,229,112,120,LThanda
8344,Light Terra Cotta,238,117,75,LThanda
8062,Mid Jazz Pink,212,50,94,LThanda
8059,Lolly Pink,221,119,135,LThanda
8146,Dark Blue Grey,50,75,108,LThanda
8120,Delft,48,74,126,LThanda
3004,Neon Orange,245,105,62,LThanda
8054,Baby Pink,235,158,169,LThanda
8337,Light Coral,238,131,105,LThanda
8083,Blossom,233,162,153,LThanda
8085,Rose Quartz,126,55,67,LThanda
8021,Crimson,143,16,30,LThanda
8404,Purple Brown,72,38,33,LThanda
8339,Deep Coral,237,92,61,LThanda
8016,Musk,234,115,125,LThanda
8331,Mid Orange,242,109,38,LThanda
8343,Pink Pearl,233,149,117,LThanda
8340,Tangerine,228,53,37,LThanda
3002,Neon Yellow,232,207,24,LThanda
4001,Glow In The Dark,196,197,197,LThanda
3001,Neon Green,116,189,75,LThanda
3003,Neon Pink,245,57,97,LThanda
8320,Dark Wattle,226,172,6,LThanda
8330,Light Orange,240,124,25,LThanda
8345,Terra Cotta,202,78,49,LThanda
8130,Ocean Blue,18,63,132,LThanda
8155,Dark Oriental Blue,29,65,99,LThanda
8053,Deep Blush,154,11,44,LThanda
8064,Cyclamen,170,16,55,LThanda
8063,Dark Jazz Pink,195,34,68,LThanda
8058,Dark Magenta,93,17,36,LThanda
8052,Dark Fuschia,150,31,60,LThanda
8347,Pink Marble,218,128,95,LThanda
8056,Mid Magenta,164,52,86,LThanda
8066,Mid Cyclamen,212,39,88,LThanda
8060,Light Jazz Pink,233,105,131,LThanda
8057,Magenta,116,22,47,LThanda
8338,Coral,237,114,89,LThanda
8342,Pearl,212,167,146,LThanda
8369,Light Ballet Pink,227,169,146,LThanda
8077,Rose Bud,195,96,99,LThanda
8432,Sepia,102,72,58,LThanda
8076,Soft Pink,216,126,125,LThanda
8410,Charcoal,74,51,45,LThanda
8055,Light Magenta,168,73,97,LThanda
8416,Dark Stone,111,100,86,LThanda
8061,Jazz Pink,219,73,107,LThanda
8346,Dark Terra Cotta,205,75,43,LThanda
5007,Cream Ab,200,183,145,LThanda
8154,Mid Oriental Blue,26,73,116,LThanda
8094,Mauve,109,60,86,LThanda
8104,Lavenda,150,121,172,LThanda
8026,Shiraz,70,10,22,LThanda
8192,Medium Reef,76,150,141,LThanda
8315,Harvest Gold,202,142,58,LThanda
8316,Sunflower,175,107,33,LThanda
8326,Baby Yellow,236,186,110,LThanda
